canonical_name,count,size_bytes,size_kb,lastwritetime,sample_path_1,sample_path_2,sample_path_3
FXJEFE_ALGO_AI_VANTAGE777 (2).ex5,2,128406,125.4,2026-03-26 07:54:50,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AI_VANTAGE777 (2).ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AI_VANTAGE777 (2).ex5,
FXJEFE_ALGO_AI_VANTAGE777.ex5,2,128406,125.4,2026-03-26 07:54:50,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AI_VANTAGE777.ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AI_VANTAGE777.ex5,
FXJEFE_ALGO_AI_VANTAGE.ex5,2,128388,125.38,2026-04-11 08:22:00,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AI_VANTAGE.ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AI_VANTAGE.ex5,
FXJEFE_ALGO_Amen3334.ex5,2,127000,124.02,2026-04-22 12:05:38,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_Amen3334.ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_Amen3334.ex5,
FXJEFE_ALGO_AIworking.ex5,2,122872,119.99,2026-03-24 04:37:52,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AIworking.ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AIworking.ex5,
FXJEFE_ALGO_AIworking (2).ex5,2,122872,119.99,2026-03-24 04:37:52,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AIworking (2).ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AIworking (2).ex5,
FXJEFE_ALGO_AI (4).ex5,2,122488,119.62,2026-03-24 04:22:14,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AI (4).ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AI (4).ex5,
FXJEFE_ALGO_AI (3).ex5,2,121424,118.58,2026-03-24 04:27:06,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AI (3).ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AI (3).ex5,
QuantumLeep.mq5,2,120786,117.96,2025-12-26 10:43:08,C:\Users\localonly\Documents\FXJEFE_Project\QuantumLeep.mq5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\QuantumLeep.mq5,
QuantumLeep (2).mq5,2,120780,117.95,2025-11-23 04:30:46,C:\Users\localonly\Documents\FXJEFE_Project\QuantumLeep (2).mq5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\QuantumLeep (2).mq5,
QuantumLeep (4).mq5,2,120780,117.95,2025-11-23 04:31:02,C:\Users\localonly\Documents\FXJEFE_Project\QuantumLeep (4).mq5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\QuantumLeep (4).mq5,
FXJEFE_ALGO_AI (5).ex5,2,120668,117.84,2026-03-14 02:00:30,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AI (5).ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AI (5).ex5,
FXJEFE_ALGO_AI_VANTAGE (3).ex5,2,118830,116.04,2026-03-24 02:27:42,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AI_VANTAGE (3).ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AI_VANTAGE (3).ex5,
ollama.mq5,2,118210,115.44,2025-11-23 04:15:04,C:\Users\localonly\Documents\FXJEFE_Project\ollama.mq5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\ollama.mq5,
FXJEFE_ALGO_AI777.ex5,2,117434,114.68,2026-03-13 21:46:42,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AI777.ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AI777.ex5,
FXJEFE_ALGO_AI777 (2).ex5,2,117434,114.68,2026-03-13 21:46:42,C:\Users\localonly\Documents\FXJEFE_Project\FXJEFE_ALGO_AI777 (2).ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\FXJEFE_ALGO_AI777 (2).ex5,
Quantum Algo AI FIXED (2).ex5,2,114828,112.14,2025-12-26 01:50:34,C:\Users\localonly\Documents\FXJEFE_Project\Quantum Algo AI FIXED (2).ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\Quantum Algo AI FIXED (2).ex5,
QuantumLeep (2).ex5,2,112402,109.77,2025-11-23 04:30:30,C:\Users\localonly\Documents\FXJEFE_Project\QuantumLeep (2).ex5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\QuantumLeep (2).ex5,
Quantum777 (2).mq5,2,107188,104.68,2025-11-28 11:20:00,C:\Users\localonly\Documents\FXJEFE_Project\Quantum777 (2).mq5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\Quantum777 (2).mq5,
Quantum777.mq5,2,107188,104.68,2025-11-28 11:19:44,C:\Users\localonly\Documents\FXJEFE_Project\Quantum777.mq5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\Quantum777.mq5,
Quantum777 (3).mq5,2,107188,104.68,2025-11-28 11:20:00,C:\Users\localonly\Documents\FXJEFE_Project\Quantum777 (3).mq5,C:\Users\localonly\Documents\FXJEFE_Project\MQL5\Quantum777 (3).mq5,
